1,Accesos De Cortina De Acero
2,Accesos De Gran Área Y Fachada Irregular De Recubrimientos Ligeros
3,Amplias Cancelerías De Aluminio Y Vidrio
4,Cancelería De Aluminio
5,Cancelerías De Aluminio Y Mampostería
6,Concreto Con Revestimiento De Mortero Y Pintura
7,Concreto Sin Revestimiento
8,Cubiertas Y Fachada Ligeras De Panel De Yeso Y Concreto
9,Elemento Prefabricados.
10,Elementos No-Estructurales Ligeros De Falso Plafón
11,Fachada Cerrada De Madera Y Elementos De Palma Seca
12,Fachada Con Revestimiento De Loseta Y Amplios Accesos De Cancelería
13,Fachada De Concreto Pintado Y Elementos Ligeros De Panel De Yeso Y Vidrio
14,Fachada De Concreto Pintado Y Elementos Ligeros En La Parte Superior
15,Fachada De Concreto Revestido Con Mortero En Acceso Principal
16,Fachada De Concreto Revestido De Mortero Pintado
17,Fachada De Loseta Con Ventanales Amplios
18,Fachada De Madera Con Cancelerías De Aluminio Y Vidrio
19,Fachada De Paneles De Aluminio Compuesto
20,Fachada Ligera Con Elementos Prefabricados Y Claros Amplios
21,Fachada Ligera De Acero Laminado
22,Fachada Ligera De Acero Laminado Con Accesos De Cortina De Acero
23,Fachada Ligera De Acero Laminado Y Yeso
24,Fachada Ligera De Concreto
25,Fachada Ligera De Madera Y Panel De Yeso
26,Fachada Ligera De Materiales Ligeros
27,Fachada Ligera De Panel De Yeso Y Concreto
28,Fachada Ligera De Panel De Yeso Y Ventanales Amplios
29,Fachada Y Marquesina Ligera De Panel De Yeso Y Concreto
30,Mampostería A La Vista Sin Revestimiento
31,Mampostería Con Revestimiento De Mortero
32,Mampostería Sin Revestimiento
33,Marquesina De Lona Pvc
34,Muros Bajos De Mampostería Y Acero Laminado En La Parte Superior
35,Recubrimiento Ligero De Palma Seca Y Madera Con Espacios Amplios
36,Revestimiento Con Placa De Yeso
37,Ventanal Amplio Apoyado En Retícula De Aluminio
38,Ventanales Amplios
