1,Resane
2,Inyección De Resinas
3,Sustitución De Materiales
4,Recuperacioón De Nivel Por Gateo
5,Encamisado De Columnas Con Concreto
6,Encamisado De Columnas Con Acero
7,Encamisado De Vigas Con Concreto
8,Encamisado De Columnas Con Acero
9,Adición De Muros De Rigidez 
10,Adición De Muros De Relleno
11,Adición De Contraventeo Metálico
12,Adición De Marcos De Concreto
13,Otros Elementos Adicionales
14,Colocación De Nuevo Pilotes
15,Refuerzo De La Cimentación
16,Enderezo De La Estructura
17,Demolición Parcial
18,Demolición Total
