1,Columnas Y Losas Planas De Concreto
2,Concreto Reforzado
3,Construcción Compuesta
4,Estructura De Madera Con Cubierta Ligera
5,"Estructura Híbrida, Marcos De Acero Y Muros De Mampostería"
6,Estructura Metálica
7,Estructura Metálica Con Cubierta Ligera
8,Estructura Metálica De Perfiles Hss E Ipr
9,Industrial Con Cubierta Ligera
10,Industrial Con Cubierta Ligera Y Claros Grandes
11,Mampostería Confinada
12,Marcos De Acero 
13,Marcos De Concreto
14,Marcos Contraventeados De Acero Y Losacero
15,Marcos De Concreto Y Armadura Metálica Ligera
16,Muros De Carga De Mampostería Y Cubierta Ligera
17,Naves Industriales
18,Tanque De Acero Vidriado
19,Trabes Presforzadas Y Pilas De Concreto Reforzado
20,-
